userid,username,firstname,lastname,city,state,email,phone,likesports,liketheatre,likeconcerts,likejazz,likeclassical,likeopera,likerock,likevegas,likebroadway,likemusicals
85,ZAR,Claude,Adamson,REIDSVILLE,South African,Claude.M.Adamson@dodgit.com,410-479-2319,true,true,true,true,true,true,true,true,true,true
86,SSP,Tamra,Lyons,BELMONT,South sudanese,Tamra.W.Lyons@dodgit.com,507-445-8341,true,true,true,true,true,true,true,true,true,true
87,ZAR,Bonnie,Barcus,OSTERVILLE,South African,Bonnie.T.Barcus@dodgit.com,917-801-8837,false,false,false,false,false,false,false,false,false,false
88,SSP,Vivian,Boose,ROCKHOLDS,South sudanese,Vivian.H.Boose@trashymail.com,612-247-2698,false,false,false,false,false,false,false,false,false,false
89,ZAR,Rebecca,Ashley,YAUCO,South African,Rebecca.J.Ashley@dodgit.com,949-458-3184,true,true,true,true,true,true,true,true,true,true
90,SSP,Dennis,Franklin,SABANA GRANDE,South sudanese,Dennis.J.Franklin@pookmail.com,937-602-6875,true,true,true,true,true,true,true,true,true,true
91,ZAR,Jose,Hammonds,CAMUY,South African,Jose.S.Hammonds@mailinator.com,707-317-7302,false,false,false,false,false,false,false,false,false,false
92,SSP,Michael,Rose,HORMIGUEROS,South sudanese,Michael.V.Rose@dodgit.com,502-544-2882,false,false,false,false,false,false,false,false,false,false
93,ZAR,Wm,Osborne,CHARLESTOWN,South African,Wm.P.Osborne@trashymail.com,731-635-7731,true,true,true,true,true,true,true,true,true,true
94,SSP,Edna,Crawley,BERLIN,South sudanese,Edna.R.Crawley@trashymail.com,309-269-7870,true,true,true,true,true,true,true,true,true,true
95,ZAR,Wanda,Barker,TEWKSBURY,South African,Wanda.D.Barker@spambob.com,315-784-4413,false,false,false,false,false,false,false,false,false,false
96,SSP,Chase,Kersten,SOUTH WEYMOUTH,South sudanese,Chase.K.Kersten@pookmail.com,941-779-5792,false,false,false,false,false,false,false,false,false,false
97,ZAR,Eugene,Thomas,OXFORD,South African,Eugene.C.Thomas@dodgit.com,507-288-5026,true,true,true,true,true,true,true,true,true,true
98,SSP,Margaret,Bryant,SAVANNAH,South sudanese,Margaret.C.Bryant@spambob.com,610-678-5366,true,true,true,true,true,true,true,true,true,true
99,ZAR,Leland,Murphy,HOLMDEL,South African,Leland.T.Murphy@spambob.com,714-966-8165,false,false,false,false,false,false,false,false,false,false
100,SSP,Daniel,Hynes,MAHOPAC,South sudanese,Daniel.A.Hynes@trashymail.com,708-716-9388,false,false,false,false,false,false,false,false,false,false
101,ZAR,Mammie,Ang,STATEN ISLAND,South African,Mammie.J.Ang@mailinator.com,724-577-5651,true,true,true,true,true,true,true,true,true,true
102,SSP,Denny,Shannon,KEARNY,South sudanese,Denny.V.Shannon@trashymail.com,906-207-9614,true,true,true,true,true,true,true,true,true,true
103,ZAR,Chris,Lang,GARFIELD,South African,Chris.S.Lang@spambob.com,509-691-2081,false,false,false,false,false,false,false,false,false,false
104,SSP,Calvin,Pike,GARFIELD,South sudanese,Calvin.L.Pike@dodgit.com,586-925-0448,false,false,false,false,false,false,false,false,false,false
105,ZAR,Elliott,Byrne,PALM COAST,South African,Elliott.J.Byrne@dodgit.com,703-483-0314,true,true,true,true,true,true,true,true,true,true
106,SSP,Doris,Zank,TRENTON,South sudanese,Doris.S.Zank@mailinator.com,928-416-6980,true,true,true,true,true,true,true,true,true,true
107,ZAR,Harold,Harding,GLADE VALLEY,South African,Harold.A.Harding@trashymail.com,209-483-6668,false,false,false,false,false,false,false,false,false,false
108,SSP,Kirsten,Smith,EAST HAVEN,South sudanese,Kirsten.O.Smith@spambob.com,405-427-7686,false,false,false,false,false,false,false,false,false,false
109,ZAR,Thomas,Beasley,FAIRVIEW,South African,Thomas.E.Beasley@mailinator.com,662-983-8949,true,true,true,true,true,true,true,true,true,true
110,SSP,Bernice,Abel,COLLINS,South sudanese,Bernice.T.Abel@trashymail.com,856-506-7777,true,true,true,true,true,true,true,true,true,true
111,ZAR,Ronald,Griffin,BOSTON,South African,Ronald.B.Griffin@trashymail.com,561-692-8677,false,false,false,false,false,false,false,false,false,false
112,SSP,Rosario,Horowitz,COHASSET,South sudanese,Rosario.B.Horowitz@spambob.com,781-539-5316,false,false,false,false,false,false,false,false,false,false
113,ZAR,David,Rodriguez,SAINT LOUIS,South African,David.E.Rodriguez@spambob.com,740-527-5916,true,true,true,true,true,true,true,true,true,true
114,SSP,Harry,Floyd,SHICKSHINNY,South sudanese,Harry.F.Floyd@trashymail.com,352-375-3608,true,true,true,true,true,true,true,true,true,true
115,ZAR,Ofelia,Logan,DAVISTON,South African,Ofelia.J.Logan@dodgit.com,714-706-1102,false,false,false,false,false,false,false,false,false,false
116,SSP,Jeremiah,Bennett,RUSSELLVILLE,South sudanese,Jeremiah.S.Bennett@dodgit.com,541-215-3391,false,false,false,false,false,false,false,false,false,false
117,ZAR,Carol,Senters,FAIR LAWN,South African,Carol.H.Senters@pookmail.com,785-477-5862,true,true,true,true,true,true,true,true,true,true
118,SSP,Joann,Woods,FAIR LAWN,South sudanese,Joann.H.Woods@spambob.com,630-356-2359,true,true,true,true,true,true,true,true,true,true
119,ZAR,Patricia,Winkler,HORMIGUEROS,South African,Patricia.J.Winkler@mailinator.com,912-688-8641,false,false,false,false,false,false,false,false,false,false
120,SSP,Vicky,Waddle,VEGA BAJA,South sudanese,Vicky.J.Waddle@trashymail.com,513-723-3807,false,false,false,false,false,false,false,false,false,false
121,ZAR,William,Walsh,JASPER,South African,William.V.Walsh@dodgit.com,413-253-6010,true,true,true,true,true,true,true,true,true,true
122,SSP,George,Johnson,BRUNSWICK,South sudanese,George.C.Johnson@pookmail.com,770-304-7329,true,true,true,true,true,true,true,true,true,true
123,ZAR,Anthony,Mcgrath,HARRISBURG,South African,Anthony.J.Mcgrath@trashymail.com,708-659-7859,false,false,false,false,false,false,false,false,false,false
124,SSP,Lonnie,Johnson,MUNDELEIN,South sudanese,Lonnie.M.Johnson@pookmail.com,707-252-8994,false,false,false,false,false,false,false,false,false,false
125,ZAR,Linda,Duke,THOUSAND OAKS,South African,Linda.J.Duke@mailinator.com,267-608-3666,true,true,true,true,true,true,true,true,true,true
126,SSP,Matthew,Hidalgo,RINER,South sudanese,Matthew.P.Hidalgo@dodgit.com,937-890-2518,true,true,true,true,true,true,true,true,true,true
127,ZAR,Debra,Heard,BIRMINGHAM,South African,Debra.F.Heard@pookmail.com,304-667-4339,false,false,false,false,false,false,false,false,false,false
128,SSP,Thomas,Werner,MARION,South sudanese,Thomas.J.Werner@dodgit.com,910-209-5124,false,false,false,false,false,false,false,false,false,false
129,ZAR,John,Wheeler,NEWTOWN,South African,John.L.Wheeler@spambob.com,818-302-6852,true,true,true,true,true,true,true,true,true,true
130,SSP,Brian,Webb,SYRACUSE,South sudanese,Brian.E.Webb@trashymail.com,310-472-1969,true,true,true,true,true,true,true,true,true,true
131,ZAR,Jeffrey,Garrett,LINCOLN,South African,Jeffrey.N.Garrett@mailinator.com,781-361-9468,false,false,false,false,false,false,false,false,false,false
132,SSP,Rolland,Hampton,MOUNT HOPE,South sudanese,Rolland.L.Hampton@spambob.com,404-319-1517,false,false,false,false,false,false,false,false,false,false
133,ZAR,Matthew,Sorenson,SAN GERMAN,South African,Matthew.V.Sorenson@spambob.com,516-559-1070,true,true,true,true,true,true,true,true,true,true
134,SSP,Martin,Swan,MAYAGUEZ,South sudanese,Martin.B.Swan@spambob.com,765-597-1581,true,true,true,true,true,true,true,true,true,true
135,ZAR,Aaron,Wiesner,SULLIGENT,South African,Aaron.V.Wiesner@pookmail.com,843-219-7613,false,false,false,false,false,false,false,false,false,false
136,SSP,Ken,Daugherty,PHOENIX,South sudanese,Ken.A.Daugherty@mailinator.com,419-980-8517,false,false,false,false,false,false,false,false,false,false
137,ZAR,Connie,Powers,MONONI,South African,Connie.C.Powers@spambob.com,970-653-7956,true,true,true,true,true,true,true,true,true,true
138,SSP,Oscar,Glynn,PITTSBURG,South sudanese,Oscar.L.Glynn@trashymail.com,858-558-7734,true,true,true,true,true,true,true,true,true,true
139,ZAR,Patricia,Haas,LOUISA,South African,Patricia.D.Haas@dodgit.com,225-620-8070,false,false,false,false,false,false,false,false,false,false
140,SSP,Rudolf,Carleton,STANFORD,South sudanese,Rudolf.H.Carleton@mailinator.com,347-333-4128,false,false,false,false,false,false,false,false,false,false
141,ZAR,Irene,Woods,GRAND RAPIDS,South African,Irene.M.Woods@mailinator.com,510-657-2114,true,true,true,true,true,true,true,true,true,true
142,SSP,Douglas,Bryant,BRONX,South sudanese,Douglas.B.Bryant@mailinator.com,832-453-0864,true,true,true,true,true,true,true,true,true,true
143,ZAR,Curtis,Bailey,LOUISVILLE,South African,Curtis.K.Bailey@dodgit.com,206-241-8095,false,false,false,false,false,false,false,false,false,false
144,SSP,Kathleen,Lisenby,SAINT LOUIS,South sudanese,Kathleen.B.Lisenby@spambob.com,501-395-3388,false,false,false,false,false,false,false,false,false,false
145,ZAR,Paul,Brockway,CLIVE,South African,Paul.G.Brockway@dodgit.com,574-522-4595,true,true,true,true,true,true,true,true,true,true
146,SSP,Kristin,Smith,VERMILION,South sudanese,Kristin.C.Smith@pookmail.com,479-489-0078,true,true,true,true,true,true,true,true,true,true
147,ZAR,Thomas,Miller,PHOENIX,South African,Thomas.L.Miller@trashymail.com,713-863-6115,false,false,false,false,false,false,false,false,false,false
148,SSP,Steven,Cohen,OLATHE,South sudanese,Steven.A.Cohen@dodgit.com,818-834-8408,false,false,false,false,false,false,false,false,false,false
149,ZAR,Thomas,Pearson,ELGIN,South African,Thomas.C.Pearson@pookmail.com,860-660-0598,true,true,true,true,true,true,true,true,true,true
150,SSP,Ruben,Zamora,STAUNTON,South sudanese,Ruben.S.Zamora@mailinator.com,804-596-4330,true,true,true,true,true,true,true,true,true,true
151,ZAR,Alonzo,Perez,BAY CITY,South African,Alonzo.L.Perez@mailinator.com,301-234-8210,false,false,false,false,false,false,false,false,false,false
152,SSP,Jennifer,King,RISING FAWN,South sudanese,Jennifer.D.King@dodgit.com,414-852-3448,false,false,false,false,false,false,false,false,false,false
153,ZAR,Edwin,Shorts,JOLIET,South African,Edwin.J.Shorts@trashymail.com,614-668-2679,true,true,true,true,true,true,true,true,true,true
154,SSP,Jackie,Alexander,JOLIET,South sudanese,Jackie.L.Alexander@dodgit.com,815-396-5581,true,true,true,true,true,true,true,true,true,true
155,ZAR,Kathryn,Hammons,MAYAGUEZ,South African,Kathryn.C.Hammons@trashymail.com,580-852-5774,false,false,false,false,false,false,false,false,false,false
156,SSP,Caridad,Fisher,MARLTON,South sudanese,Caridad.A.Fisher@mailinator.com,314-428-0007,false,false,false,false,false,false,false,false,false,false
157,ZAR,Thomas,Blythe,BOLTON,South African,Thomas.M.Blythe@dodgit.com,210-276-7222,true,true,true,true,true,true,true,true,true,true
158,SSP,Melvin,Rivera,FARGO,South sudanese,Melvin.B.Rivera@mailinator.com,602-293-6913,true,true,true,true,true,true,true,true,true,true
159,ZAR,John,Thao,FRESNO,South African,John.L.Thao@dodgit.com,972-750-2478,false,false,false,false,false,false,false,false,false,false
160,SSP,Dwight,Man,WHITE HALL,South sudanese,Dwight.T.Man@trashymail.com,410-450-4084,false,false,false,false,false,false,false,false,false,false
161,ZAR,Douglas,Owens,LOOGOOTEE,South African,Douglas.L.Owens@pookmail.com,303-792-6438,true,true,true,true,true,true,true,true,true,true
162,SSP,David,Younker,JERSEY CITY,South sudanese,David.L.Younker@mailinator.com,567-276-4555,true,true,true,true,true,true,true,true,true,true
163,ZAR,Ramiro,Snell,POULSBO,South African,Ramiro.K.Snell@pookmail.com,805-262-9045,false,false,false,false,false,false,false,false,false,false
164,SSP,Jeanette,Herman,MAGNOLIA,South sudanese,Jeanette.S.Herman@mailinator.com,317-472-6294,false,false,false,false,false,false,false,false,false,false
165,ZAR,Todd,Ortega,MOUNT VERNON,South African,Todd.A.Ortega@trashymail.com,313-943-7431,true,true,true,true,true,true,true,true,true,true
166,SSP,Deborah,Osteen,SAINT PETERSBURG,South sudanese,Deborah.J.Osteen@spambob.com,310-322-6523,true,true,true,true,true,true,true,true,true,true
167,ZAR,Sergio,Pauley,BERLIN,South African,Sergio.D.Pauley@trashymail.com,208-826-5514,false,false,false,false,false,false,false,false,false,false
168,SSP,Marvin,James,BRIGHAM CITY,South sudanese,Marvin.S.James@pookmail.com,323-344-3921,false,false,false,false,false,false,false,false,false,false
169,ZAR,Rosemarie,Hubbard,HOBOKEN,South African,Rosemarie.T.Hubbard@dodgit.com,301-877-7632,true,true,true,true,true,true,true,true,true,true
170,SSP,Patti,Bobby,PISCATAWAY,South sudanese,Patti.G.Bobby@spambob.com,850-774-6689,true,true,true,true,true,true,true,true,true,true
171,ZAR,Tracy,Wyman,HOT SPRINGS,South African,Tracy.S.Wyman@pookmail.com,775-240-5844,false,false,false,false,false,false,false,false,false,false
172,SSP,Gertrude,Conner,BROOKLYN,South sudanese,Gertrude.W.Conner@trashymail.com,251-866-0294,false,false,false,false,false,false,false,false,false,false
173,EUR,Frank,Sears,AGENCY,Mayotte,Frank.S.Sears@dodgit.com,607-748-1518,true,true,true,true,true,true,true,true,true,true
174,EUR,Mary,Nelson,LAKE CITY,Mayotte,Mary.D.Nelson@trashymail.com,508-843-9883,false,false,false,false,false,false,false,false,false,false
175,EUR,Ruth,Scott,SCHENECTADY,Mayotte,Ruth.R.Scott@spambob.com,541-776-1242,true,true,true,true,true,true,true,true,true,true
176,EUR,Debora,Hight,MAYVILLE,Mayotte,Debora.R.Hight@trashymail.com,214-340-3727,false,false,false,false,false,false,false,false,false,false
177,EUR,Beth,Waters,PUEBLO,Mayotte,Beth.P.Waters@dodgit.com,443-984-0570,true,true,true,true,true,true,true,true,true,true
178,EUR,Barbara,Huston,MAYBEE,Mayotte,Barbara.H.Huston@trashymail.com,614-247-3225,false,false,false,false,false,false,false,false,false,false
179,EUR,Andrew,Day,RIVERVIEW,Mayotte,Andrew.E.Day@dodgit.com,785-248-7395,true,true,true,true,true,true,true,true,true,true
180,EUR,Katherine,Shaw,VEGA BAJA,Mayotte,Katherine.R.Shaw@trashymail.com,209-869-8656,false,false,false,false,false,false,false,false,false,false
181,EUR,Jeffrey,Gagliardi,EAST PRINCETON,Mayotte,Jeffrey.M.Gagliardi@pookmail.com,540-946-9752,true,true,true,true,true,true,true,true,true,true
182,EUR,Marian,Valente,GREENSBORO,Mayotte,Marian.J.Valente@trashymail.com,404-632-9046,false,false,false,false,false,false,false,false,false,false
183,EUR,Ray,Chisolm,SWEDESBURG,Mayotte,Ray.J.Chisolm@trashymail.com,206-270-8978,true,true,true,true,true,true,true,true,true,true
184,EUR,Tia,Palmer,MAYAGUEZ,Mayotte,Tia.R.Palmer@spambob.com,865-322-4450,false,false,false,false,false,false,false,false,false,false
185,EUR,Melanie,Miller,HARTFORD,Mayotte,Melanie.T.Miller@pookmail.com,404-452-2898,true,true,true,true,true,true,true,true,true,true
